"Numéro de la circonscription";"Nom de la circonscription";"Dernière date de mise à jour au format ISO 8601";"Résultats finaux";"Nombre de bureaux complétés";"Nombre total de bureaux";"Nombre de votes valides";"Nombre de votes rejetés";"Nombre de votes exercés";"Nombre d'électeurs inscrits";"Taux de vote valide";"Taux de vote rejeté";"Taux de participation"
"648";"Abitibi-Est";"2018-10-14T14:10:48,130-04:00";"true";"125";"125";"20991";"551";"21542";"33770";"97.44";"2.56";"63.79"
"642";"Abitibi-Ouest";"2018-10-14T14:10:48,130-04:00";"true";"139";"139";"22509";"372";"22881";"35339";"98.37";"1.63";"64.75"
"338";"Acadie";"2018-10-14T14:10:48,130-04:00";"true";"162";"162";"26591";"406";"26997";"49838";"98.5";"1.5";"54.17"
"366";"Anjou-Louis-Riel";"2018-10-14T14:10:48,130-04:00";"true";"137";"137";"27654";"505";"28159";"43666";"98.21";"1.79";"64.49"
"520";"Argenteuil";"2018-10-14T14:10:48,130-04:00";"true";"158";"158";"30477";"457";"30934";"47351";"98.52";"1.48";"65.33"
"144";"Arthabaska";"2018-10-14T14:10:48,130-04:00";"true";"196";"196";"41465";"791";"42256";"60808";"98.13";"1.87";"69.49"
"806";"Beauce-Nord";"2018-10-14T14:10:48,130-04:00";"true";"142";"142";"30193";"530";"30723";"43398";"98.27";"1.73";"70.79"
"802";"Beauce-Sud";"2018-10-14T14:10:48,130-04:00";"true";"169";"169";"33402";"467";"33869";"48992";"98.62";"1.38";"69.13"
"218";"Beauharnois";"2018-10-14T14:10:48,130-04:00";"true";"157";"157";"32003";"706";"32709";"47666";"97.84";"2.16";"68.62"
"822";"Bellechasse";"2018-10-14T14:10:48,130-04:00";"true";"153";"153";"30274";"535";"30809";"43947";"98.26";"1.74";"70.1"
"566";"Berthier";"2018-10-14T14:10:48,130-04:00";"true";"197";"197";"39990";"752";"40742";"58335";"98.15";"1.85";"69.84"
"588";"Bertrand";"2018-10-14T14:10:48,130-04:00";"true";"167";"167";"33378";"530";"33908";"50158";"98.44";"1.56";"67.6"
"536";"Blainville";"2018-10-14T14:10:48,130-04:00";"true";"184";"184";"42377";"761";"43138";"57856";"98.24";"1.76";"74.56"
"850";"Bonaventure";"2018-10-14T14:10:48,130-04:00";"true";"141";"141";"21882";"242";"22124";"35530";"98.91";"1.09";"62.27"
"258";"Borduas";"2018-10-14T14:10:48,130-04:00";"true";"191";"191";"43640";"597";"44237";"57897";"98.65";"1.35";"76.41"
"360";"Bourassa-Sauvé";"2018-10-14T14:10:48,130-04:00";"true";"164";"164";"24817";"666";"25483";"48592";"97.39";"2.61";"52.44"
"370";"Bourget";"2018-10-14T14:10:48,130-04:00";"true";"165";"165";"32178";"594";"32772";"50481";"98.19";"1.81";"64.92"
"204";"Brome-Missisquoi";"2018-10-14T14:10:48,130-04:00";"true";"204";"204";"41473";"623";"42096";"59503";"98.52";"1.48";"70.75"
"238";"Chambly";"2018-10-14T14:10:48,130-04:00";"true";"168";"168";"37685";"518";"38203";"50699";"98.64";"1.36";"75.35"
"676";"Champlain";"2018-10-14T14:10:48,130-04:00";"true";"197";"197";"40789";"728";"41517";"58905";"98.25";"1.75";"70.48"
"620";"Chapleau";"2018-10-14T14:10:48,130-04:00";"true";"179";"179";"32300";"557";"32857";"54962";"98.3";"1.7";"59.78"
"748";"Charlesbourg";"2018-10-14T14:10:48,130-04:00";"true";"193";"193";"41527";"821";"42348";"57722";"98.06";"1.94";"73.37"
"760";"Charlevoix-Côte-de-Beaupré";"2018-10-14T14:10:48,130-04:00";"true";"185";"185";"34738";"605";"35343";"51608";"98.29";"1.71";"68.48"
"226";"Châteauguay";"2018-10-14T14:10:48,130-04:00";"true";"172";"172";"33080";"539";"33619";"52642";"98.4";"1.6";"63.86"
"754";"Chauveau";"2018-10-14T14:10:48,130-04:00";"true";"190";"190";"39146";"787";"39933";"56405";"98.03";"1.97";"70.8"
"918";"Chicoutimi";"2018-10-14T14:10:48,130-04:00";"true";"153";"153";"30878";"601";"31479";"45937";"98.09";"1.91";"68.53"
"460";"Chomedey";"2018-10-14T14:10:48,130-04:00";"true";"182";"182";"30339";"526";"30865";"57131";"98.3";"1.7";"54.02"
"814";"Chutes-de-la-Chaudière";"2018-10-14T14:10:48,130-04:00";"true";"194";"194";"43316";"764";"44080";"57523";"98.27";"1.73";"76.63"
"826";"Côte-du-Sud";"2018-10-14T14:10:48,130-04:00";"true";"196";"196";"32799";"538";"33337";"49881";"98.39";"1.61";"66.83"
"320";"D'Arcy-McGee";"2018-10-14T14:10:48,130-04:00";"true";"181";"181";"25681";"265";"25946";"55726";"98.98";"1.02";"46.56"
"508";"Deux-Montagnes";"2018-10-14T14:10:48,130-04:00";"true";"151";"151";"33806";"636";"34442";"48440";"98.15";"1.85";"71.1"
"138";"Drummond-Bois-Francs";"2018-10-14T14:10:48,130-04:00";"true";"170";"170";"34774";"798";"35572";"51691";"97.76";"2.24";"68.82"
"914";"Dubuc";"2018-10-14T14:10:48,130-04:00";"true";"137";"137";"26188";"485";"26673";"40506";"98.18";"1.82";"65.85"
