event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_first_name	elected_middle_name	elected_last_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Fred	J.	Mifflin	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         
3600	ED10-002	Burin--St. George's	Burin--St. George's	Newfoundland	Terre-Neuve	187	30383	55869	219	19	1	290	192	482	79263	1991	N	2169	7.1	54.7	Bill		Matthews	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Allan MacNeil                       
3600	ED10-003	Gander--Grand Falls	Gander--Grand Falls	Newfoundland	Terre-Neuve	155	25681	58598	183	13	1	186	95	281	82408	1991	N	4757	18.5	44.1	George		Baker	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Winnie Roebothan                     
3600	ED10-004	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Newfoundland	Terre-Neuve	129	30272	55341	194	10	3	244	182	426	79398	1991	N	232	0.8	54.9	Gerry		Byrne	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Robert Green                         
3600	ED10-005	Labrador	Labrador	Newfoundland	Terre-Neuve	47	12212	20197	75	6	0	99	83	182	30379	1991	N	1567	12.8	60.7	Lawrence	David	O'Brien	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Barbara Roberts                       
3600	ED10-006	St. John's East	St. John's-Est	Newfoundland	Terre-Neuve	214	44350	75839	212	10	0	256	658	914	101057	1991	N	4826	10.9	58.8	Norman	E.	Doyle	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Gerald Tilley                        
3600	ED10-007	St. John's West	St. John's-Ouest	Newfoundland	Terre-Neuve	198	44008	73200	231	13	1	251	337	588	101127	1991	N	3076	7	60.4	Charlie		Power	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Larry Edison                        
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	Lawrence		MacAulay	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          
3600	ED11-002	Egmont	Egmont	Prince Edward Island	Île-du-Prince-Édouard	158	17552	24992	86	5	1	90	215	305	34266	1991	N	744	4.2	70.9	Joe		McGuire	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Pauline Deighan                       
3600	ED11-003	Hillsborough	Hillsborough	Prince Edward Island	Île-du-Prince-Édouard	177	18670	26453	89	4	3	95	298	393	33976	1991	N	1879	10.1	71.2	George		Proud	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Sharon Knox                          
