Province,District,Population,Electors,Total Polls,Valid Ballots,Valid Ballots Percent,Rejected Ballots,Rejected Ballots Percent,Total Ballots,Voter Turnout,Candidate
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon",79548,63745,264,31426,98.9,336,1.1,31762,49.8,"Efford, R. John Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Exploits",89743,71952,253,33134,99.5,178,.5,33312,46.3,"Simms, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte",76467,59893,207,28485,99.6,128,.4,28613,47.8,"Byrne, Gerry Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador",27864,19909,85,8877,99.5,46,.5,8923,44.8,"O'Brien, Lawrence David Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's",76089,59256,254,26474,99.5,139,.5,26613,44.9,"Matthews, Bill Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's North/St. John's-Nord",81007,65660,184,36405,99.7,114,.3,36519,55.6,"Doyle, Norman E Conservative/conservateur"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South/St. John's-Sud",82212,64617,198,33691,99.7,103,.3,33794,52.3,"Hearn, Loyola Conservative/conservateur"
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan",34777,27656,85,20726,99.3,137,.7,20863,75.4,"MacAulay, Lawrence Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown",32245,27820,83,18589,99.3,133,.7,18722,67.3,"Murphy, Shawn Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Egmont",35208,27545,88,18433,99.3,134,.7,18567,67.4,"McGuire, Joe Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque",33064,26010,75,18847,99.2,144,.8,18991,73,"Easter, Wayne Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso",75221,59825,202,37810,99.1,361,.9,38171,63.8,"Cuzner, Rodger Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre",73722,58240,209,37847,99.5,198,.5,38045,65.3,"MacKay, Peter G. Conservative/conservateur"
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour",88507,67176,189,41423,99.6,181,.4,41604,61.9,"Savage, Michael John Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax",88931,70847,206,44146,99.4,260,.6,44406,62.7,"McDonough, Alexa N.D.P./N.P.D."
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest",79933,63479,171,40176,99.7,141,.3,40317,63.5,"Regan, Geoff Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Kings--Hants",79286,60801,200,37661,99.2,289,.8,37950,62.4,"Brison, Scott Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","North Nova/Nova-Nord",87507,66451,225,39983,99.5,192,.5,40175,60.5,"Casey, Bill Conservative/conservateur"
