Province,Electoral District/Circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon",79548,63303,274,37112,98.3,623,1.7,37735,59.6,"Manning, Fabian Conservative/Conservateur"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor",89743,70782,251,38175,99.5,190,.5,38365,54.2,"Simms, Scott Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte",76467,59685,217,32531,99.4,191,.6,32722,54.8,"Byrne, Gerry Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador",27864,19774,76,11415,99.5,52,.5,11467,58,"Russell, Todd Norman Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's",76089,57869,256,30012,99.6,131,.4,30143,52.1,"Matthews, Bill Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est",81007,68026,199,41047,99.7,111,.3,41158,60.5,"Doyle, Norman Conservative/Conservateur"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl",82212,64543,202,37247,99.7,124,.3,37371,57.9,"Hearn, Loyola Conservative/Conservateur"
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan",34777,27411,85,20533,99.4,116,.6,20649,75.3,"MacAulay, Lawrence Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown",32245,27175,87,19112,99.4,114,.6,19226,70.7,"Murphy, Shawn Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Egmont",35208,27146,89,19350,99.4,119,.6,19469,71.7,"McGuire, Joe Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque",33064,25945,76,19371,99.4,114,.6,19485,75.1,"Easter, Wayne Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso",75221,60984,209,40281,99.3,288,.7,40569,66.5,"Cuzner, Rodger Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre",73722,61137,209,42139,99.7,147,.3,42286,69.2,"MacKay, Peter G. Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley",87507,70036,241,43116,99.5,203,.5,43319,61.9,"Casey, Bill Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour",88507,72264,211,44959,99.6,166,.4,45125,62.4,"Savage, Michael Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax",88931,76885,224,49962,99.6,209,.4,50171,65.3,"McDonough, Alexa N.D.P./N.P.D."
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest",79933,70349,171,44206,99.7,147,.3,44353,63,"Regan, Geoff Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Kings--Hants",79286,65898,197,42784,99.6,177,.4,42961,65.2,"Brison, Scott Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore",83655,69311,220,43152,99.7,125,.3,43277,62.4,"Stoffer, Peter N.D.P./N.P.D."
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's",83694,67983,214,41000,99.6,173,.4,41173,60.6,"Keddy, Gerald Gordon Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria",79294,64589,195,40655,99.4,227,.6,40882,63.3,"Eyking, Mark Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest",88257,71393,220,45190,99.4,274,.6,45464,63.7,"Thibault, Robert Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst",82929,67608,238,50492,99,523,1,51015,75.5,"Godin, Yvon N.D.P./N.P.D."
"New Brunswick/Nouveau-Brunswick","Beauséjour",73871,62291,207,46295,98.8,561,1.2,46856,75.2,"LeBlanc, Dominic Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fredericton",82782,69453,216,47011,99.6,207,.4,47218,68,"Scott, Andy Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fundy Royal",67287,54154,188,36494,99.3,253,.7,36747,67.9,"Moore, Rob Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche",65877,53233,177,36125,97.7,857,2.3,36982,69.5,"D'Amours, Jean-Claude J. C. Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Miramichi",56464,45284,157,33024,98.9,359,1.1,33383,73.7,"Hubbard, Charles Isaac Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe",83191,72386,192,48036,99.2,370,.8,48406,66.9,"Murphy, Brian Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",63529,49921,162,33132,99.4,210,.6,33342,66.8,"Thompson, Greg Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Saint John",83463,65639,194,40080,99.5,214,.5,40294,61.4,"Zed, Paul Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac",70105,54135,188,36303,99,372,1,36675,67.7,"Allen, Mike Conservative/Conservateur"
