,y,x,pr_alpha,representation_order,pr_english,pr_french,pr_sgc_code,riding_code
108,8,3,AB,2013,Alberta,Alberta,48,48001
1091,8,4,AB,2013,Alberta,Alberta,48,48002
1102,8,5,AB,2013,Alberta,Alberta,48,48003
1112,8,6,AB,2013,Alberta,Alberta,48,48004
1122,8,7,AB,2013,Alberta,Alberta,48,48005
123,9,3,AB,2013,Alberta,Alberta,48,48006
124,9,4,AB,2013,Alberta,Alberta,48,48007
1252,9,5,AB,2013,Alberta,Alberta,48,48008
1262,9,6,AB,2013,Alberta,Alberta,48,48009
1272,9,7,AB,2013,Alberta,Alberta,48,48010
1282,9,8,AB,2013,Alberta,Alberta,48,48011
1292,9,9,AB,2013,Alberta,Alberta,48,48012
1302,9,10,AB,2013,Alberta,Alberta,48,48013
139,10,4,AB,2013,Alberta,Alberta,48,48014
1402,10,5,AB,2013,Alberta,Alberta,48,48015
1412,10,6,AB,2013,Alberta,Alberta,48,48016
1422,10,7,AB,2013,Alberta,Alberta,48,48017
1432,10,8,AB,2013,Alberta,Alberta,48,48018
1442,10,9,AB,2013,Alberta,Alberta,48,48019
1452,10,10,AB,2013,Alberta,Alberta,48,48020
154,11,4,AB,2013,Alberta,Alberta,48,48021
1552,11,5,AB,2013,Alberta,Alberta,48,48022
1562,11,6,AB,2013,Alberta,Alberta,48,48023
1572,11,7,AB,2013,Alberta,Alberta,48,48024
1582,11,8,AB,2013,Alberta,Alberta,48,48025
1592,11,9,AB,2013,Alberta,Alberta,48,48026
1602,11,10,AB,2013,Alberta,Alberta,48,48027
169,12,4,AB,2013,Alberta,Alberta,48,48028
1701,12,5,AB,2013,Alberta,Alberta,48,48029
1712,12,6,AB,2013,Alberta,Alberta,48,48030
1722,12,7,AB,2013,Alberta,Alberta,48,48031
1732,12,8,AB,2013,Alberta,Alberta,48,48032
1742,12,9,AB,2013,Alberta,Alberta,48,48033
1752,12,10,AB,2013,Alberta,Alberta,48,48034
92,1,9,BC,2013,British Columbia,Colombie-Britannique,59,59001
102,1,10,BC,2013,British Columbia,Colombie-Britannique,59,59002
11,1,11,BC,2013,British Columbia,Colombie-Britannique,59,59003
242,2,9,BC,2013,British Columbia,Colombie-Britannique,59,59004
252,2,10,BC,2013,British Columbia,Colombie-Britannique,59,59005
26,2,11,BC,2013,British Columbia,Colombie-Britannique,59,59006
32,3,2,BC,2013,British Columbia,Colombie-Britannique,59,59007
332,3,3,BC,2013,British Columbia,Colombie-Britannique,59,59008
345,3,4,BC,2013,British Columbia,Colombie-Britannique,59,59009
3510,3,5,BC,2013,British Columbia,Colombie-Britannique,59,59010
362,3,6,BC,2013,British Columbia,Colombie-Britannique,59,59011
375,3,7,BC,2013,British Columbia,Colombie-Britannique,59,59012
3811,3,8,BC,2013,British Columbia,Colombie-Britannique,59,59013
47,4,2,BC,2013,British Columbia,Colombie-Britannique,59,59014
4810,4,3,BC,2013,British Columbia,Colombie-Britannique,59,59015
4912,4,4,BC,2013,British Columbia,Colombie-Britannique,59,59016
508,4,5,BC,2013,British Columbia,Colombie-Britannique,59,59017
5110,4,6,BC,2013,British Columbia,Colombie-Britannique,59,59018
524,4,7,BC,2013,British Columbia,Colombie-Britannique,59,59019
536,4,8,BC,2013,British Columbia,Colombie-Britannique,59,59020
5410,4,9,BC,2013,British Columbia,Colombie-Britannique,59,59021
62,5,2,BC,2013,British Columbia,Colombie-Britannique,59,59022
633,5,3,BC,2013,British Columbia,Colombie-Britannique,59,59023
642,5,4,BC,2013,British Columbia,Colombie-Britannique,59,59024
656,5,5,BC,2013,British Columbia,Colombie-Britannique,59,59025
662,5,6,BC,2013,British Columbia,Colombie-Britannique,59,59026
672,5,7,BC,2013,British Columbia,Colombie-Britannique,59,59027
682,5,8,BC,2013,British Columbia,Colombie-Britannique,59,59028
692,5,9,BC,2013,British Columbia,Colombie-Britannique,59,59029
702,5,10,BC,2013,British Columbia,Colombie-Britannique,59,59030
77,6,2,BC,2013,British Columbia,Colombie-Britannique,59,59031
781,6,3,BC,2013,British Columbia,Colombie-Britannique,59,59032
792,6,4,BC,2013,British Columbia,Colombie-Britannique,59,59033
802,6,5,BC,2013,British Columbia,Colombie-Britannique,59,59034
812,6,6,BC,2013,British Columbia,Colombie-Britannique,59,59035
822,6,7,BC,2013,British Columbia,Colombie-Britannique,59,59036
832,6,8,BC,2013,British Columbia,Colombie-Britannique,59,59037
842,6,9,BC,2013,British Columbia,Colombie-Britannique,59,59038
852,6,10,BC,2013,British Columbia,Colombie-Britannique,59,59039
982,7,8,BC,2013,British Columbia,Colombie-Britannique,59,59040
992,7,9,BC,2013,British Columbia,Colombie-Britannique,59,59041
1002,7,10,BC,2013,British Columbia,Colombie-Britannique,59,59042
2442,17,4,MB,2013,Manitoba,Manitoba,46,46001
2452,17,5,MB,2013,Manitoba,Manitoba,46,46002
2462,17,6,MB,2013,Manitoba,Manitoba,46,46003
2472,17,7,MB,2013,Manitoba,Manitoba,46,46004
2482,17,8,MB,2013,Manitoba,Manitoba,46,46005
2492,17,9,MB,2013,Manitoba,Manitoba,46,46006
2502,17,10,MB,2013,Manitoba,Manitoba,46,46007
2592,18,4,MB,2013,Manitoba,Manitoba,46,46008
2602,18,5,MB,2013,Manitoba,Manitoba,46,46009
2612,18,6,MB,2013,Manitoba,Manitoba,46,46010
2622,18,7,MB,2013,Manitoba,Manitoba,46,46011
2632,18,8,MB,2013,Manitoba,Manitoba,46,46012
2642,18,9,MB,2013,Manitoba,Manitoba,46,46013
2652,18,10,MB,2013,Manitoba,Manitoba,46,46014
6522,44,7,NB,2013,New Brunswick,Nouveau-Brunswick,13,13001
6532,44,8,NB,2013,New Brunswick,Nouveau-Brunswick,13,13002
6542,44,9,NB,2013,New Brunswick,Nouveau-Brunswick,13,13003
6552,44,10,NB,2013,New Brunswick,Nouveau-Brunswick,13,13004
6672,45,7,NB,2013,New Brunswick,Nouveau-Brunswick,13,13005
6682,45,8,NB,2013,New Brunswick,Nouveau-Brunswick,13,13006
6692,45,9,NB,2013,New Brunswick,Nouveau-Brunswick,13,13007
6702,45,10,NB,2013,New Brunswick,Nouveau-Brunswick,13,13008
6842,46,9,NB,2013,New Brunswick,Nouveau-Brunswick,13,13009
6852,46,10,NB,2013,New Brunswick,Nouveau-Brunswick,13,13010
5722,39,2,NL,2013,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,10001
6012,41,1,NL,2013,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,10002
6022,41,2,NL,2013,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,10003
6162,42,1,NL,2013,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,10004
