"Geographic code","Geographic name, english","Geographic name, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"10001","Avalon","Avalon","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,86494,F,81590,T,6.0,44009,38796,T,13.4,34766,31774,T,9.4,6457.79,13.4,
"10002","Bonavista--Burin--Trinity","Bonavista--Burin--Trinity","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,74116,F,76685,T,-3.4,43601,43036,T,1.3,31779,31666,T,0.4,16806.97,4.4,
"10003","Coast of Bays--Central--Notre Dame","Coast of Bays--Central--Notre Dame","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,77680,F,78073,T,-0.5,42939,41017,T,4.7,33459,32284,T,3.6,39395.65,2.0,
"10004","Labrador","Labrador","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,27197,F,26728,F,1.8,11703,11023,F,6.2,10027,9684,F,3.5,269135.61,0.1,
"10005","Long Range Mountains","Long Range Mountains","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,86553,F,87592,F,-1.2,46159,44323,F,4.1,37779,36369,F,3.9,37967.03,2.3,
"10006","St. John's East","St. John's-Est","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,85697,F,81936,F,4.6,39038,35725,F,9.3,35505,33012,F,7.6,328.15,261.1,
"10007","St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,81979,F,81932,T,0.1,38290,36355,T,5.3,35358,34053,T,3.8,422.87,193.9,
"11001","Cardigan","Cardigan","Prince Edward Island","Île-du-Prince-Édouard",11,36615,F,36005,F,1.7,18829,17538,F,7.4,14748,14015,F,5.2,2551.09,14.4,
"11002","Charlottetown","Charlottetown","Prince Edward Island","Île-du-Prince-Édouard",11,36094,F,34562,F,4.4,17193,16060,F,7.1,16100,15000,F,7.3,44.34,814.1,
"11003","Egmont","Egmont","Prince Edward Island","Île-du-Prince-Édouard",11,34168,F,34598,F,-1.2,16459,16056,F,2.5,14301,13973,F,2.3,1483.14,23.0,
"11004","Malpeque","Malpeque","Prince Edward Island","Île-du-Prince-Édouard",11,36030,F,35039,F,2.8,18638,17289,F,7.8,14323,13474,F,6.3,1607.46,22.4,
"12001","Cape Breton--Canso","Cape Breton--Canso","Nova Scotia","Nouvelle-Écosse",12,71913,F,75247,F,-4.4,37977,37445,F,1.4,31246,31276,F,-0.1,8752.81,8.2,
"12002","Central Nova","Nova-Centre","Nova Scotia","Nouvelle-Écosse",12,71962,F,74597,F,-3.5,38651,38086,F,1.5,31579,31636,F,-0.2,9307.83,7.7,
"12003","Cumberland--Colchester","Cumberland--Colchester","Nova Scotia","Nouvelle-Écosse",12,80590,F,82321,F,-2.1,43823,42900,F,2.2,35843,35356,F,1.4,7905.99,10.2,
"12004","Dartmouth--Cole Harbour","Dartmouth--Cole Harbour","Nova Scotia","Nouvelle-Écosse",12,92301,F,91212,F,1.2,43297,41439,F,4.5,40921,39405,F,3.8,90.00,1025.6,
"12005","Halifax","Halifax","Nova Scotia","Nouvelle-Écosse",12,94610,F,92643,F,2.1,50905,49148,F,3.6,45136,44020,F,2.5,215.64,438.8,
"12006","Halifax West","Halifax-Ouest","Nova Scotia","Nouvelle-Écosse",12,96255,F,87275,F,10.3,42370,38041,F,11.4,40438,36552,F,10.6,227.35,423.4,
"12007","Kings--Hants","Kings--Hants","Nova Scotia","Nouvelle-Écosse",12,83465,F,83306,F,0.2,38917,37146,F,4.8,35202,34094,F,3.2,4124.46,20.2,
"12008","Sackville--Preston--Chezzetcook","Sackville--Preston--Chezzetcook","Nova Scotia","Nouvelle-Écosse",12,86498,F,85583,F,1.1,34355,32769,F,4.8,33205,31769,F,4.5,644.93,134.1,
"12009","South Shore--St. Margarets","South Shore--St. Margarets","Nova Scotia","Nouvelle-Écosse",12,91830,F,92561,F,-0.8,49931,48008,F,4.0,40529,39546,F,2.5,8474.95,10.8,
"12010","Sydney--Victoria","Sydney--Victoria","Nova Scotia","Nouvelle-Écosse",12,72148,F,73328,F,-1.6,35210,34502,F,2.1,31485,30641,F,2.8,4312.87,16.7,
"12011","West Nova","Nova-Ouest","Nova Scotia","Nouvelle-Écosse",12,82026,F,83654,F,-1.9,43132,42671,F,1.1,36406,35984,F,1.2,8885.44,9.2,
"13001","Acadie--Bathurst","Acadie--Bathurst","New Brunswick","Nouveau-Brunswick",13,77791,F,79340,F,-2.0,38754,37333,F,3.8,34544,34114,F,1.3,5063.17,15.4,
"13002","Beauséjour","Beauséjour","New Brunswick","Nouveau-Brunswick",13,82292,F,80416,F,2.3,40844,39137,F,4.4,34287,32677,F,4.9,3995.89,20.6,
"13003","Fredericton","Fredericton","New Brunswick","Nouveau-Brunswick",13,83303,F,81759,F,1.9,38988,37058,F,5.2,35505,34358,F,3.3,1502.52,55.4,
"13004","Fundy Royal","Fundy Royal","New Brunswick","Nouveau-Brunswick",13,79943,F,79386,T,0.7,34819,33483,T,4.0,31562,30519,T,3.4,7230.86,11.1,
"13005","Madawaska--Restigouche","Madawaska--Restigouche","New Brunswick","Nouveau-Brunswick",13,60378,F,62540,F,-3.5,29362,29382,F,-0.1,27037,27271,F,-0.9,11700.98,5.2,
"13006","Miramichi--Grand Lake","Miramichi--Grand Lake","New Brunswick","Nouveau-Brunswick",13,57405,F,59343,F,-3.3,28248,27536,F,2.6,24937,24808,F,0.5,16867.04,3.4,
"13007","Moncton--Riverview--Dieppe","Moncton--Riverview--Dieppe","New Brunswick","Nouveau-Brunswick",13,92666,F,89484,F,3.6,45200,42776,F,5.7,41366,39554,F,4.6,157.02,590.2,
"13008","New Brunswick Southwest","Nouveau-Brunswick-Sud-Ouest","New Brunswick","Nouveau-Brunswick",13,65287,F,66197,F,-1.4,32907,32037,F,2.7,27100,26809,F,1.1,9911.43,6.6,
"13009","Saint John--Rothesay","Saint John--Rothesay","New Brunswick","Nouveau-Brunswick",13,79363,F,82074,T,-3.3,38678,38300,T,1.0,34899,35331,T,-1.2,391.02,203.0,
"13010","Tobique--Mactaquac","Tobique--Mactaquac","New Brunswick","Nouveau-Brunswick",13,68673,F,70632,F,-2.8,31921,31423,F,1.6,28536,28566,F,-0.1,14568.89,4.7,
"24001","Abitibi--Baie-James--Nunavik--Eeyou","Abitibi--Baie-James--Nunavik--Eeyou","Quebec","Québec",24,87787,F,85475,F,2.7,36403,34047,F,6.9,32713,31297,F,4.5,771483.97,0.1,
"24002","Abitibi--Témiscamingue","Abitibi--Témiscamingue","Quebec","Québec",24,103491,F,102794,F,0.7,50987,48525,F,5.1,45535,44202,F,3.0,33444.46,3.1,
"24003","Ahuntsic-Cartierville","Ahuntsic-Cartierville","Quebec","Québec",24,117447,F,110473,F,6.3,54073,52515,F,3.0,50908,48822,F,4.3,21.72,5407.1,
"24004","Alfred-Pellan","Alfred-Pellan","Quebec","Québec",24,101373,F,98045,F,3.4,39078,37882,F,3.2,37948,36869,F,2.9,113.98,889.4,
"24005","Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation","Quebec","Québec",24,95781,F,94208,F,1.7,56597,53809,F,5.2,42508,40688,F,4.5,4958.84,19.3,
"24006","Avignon--La Mitis--Matane--Matapédia","Avignon--La Mitis--Matane--Matapédia","Quebec","Québec",24,71897,F,74547,F,-3.6,38122,37715,F,1.1,33093,33214,F,-0.4,14461.67,5.0,
"24007","Beauce","Beauce","Quebec","Québec",24,108746,F,106386,T,2.2,49103,47817,T,2.7,46173,44441,T,3.9,4103.54,26.5,
"24008","Beauport--Limoilou","Beauport--Limoilou","Quebec","Québec",24,96029,F,92944,F,3.3,50918,48156,F,5.7,48440,46708,F,3.7,33.44,2871.5,
"24009","Bécancour--Nicolet--Saurel","Bécancour--Nicolet--Saurel","Quebec","Québec",24,94588,F,93779,F,0.9,46417,44822,F,3.6,42919,41714,F,2.9,2749.31,34.4,
"24010","Bellechasse--Les Etchemins--Lévis","Bellechasse--Les Etchemins--Lévis","Quebec","Québec",24,114966,F,112385,F,2.3,55658,52885,F,5.2,51114,48989,F,4.3,3202.78,35.9,
"24011","Beloeil--Chambly","Beloeil--Chambly","Quebec","Québec",24,117343,F,109955,F,6.7,47816,44354,F,7.8,46569,43178,F,7.9,378.26,310.2,
"24012","Berthier--Maskinongé","Berthier--Maskinongé","Quebec","Québec",24,100371,F,98590,F,1.8,50785,48480,F,4.8,43965,42276,F,4.0,4150.60,24.2,
"24013","Thérèse-De Blainville","Thérèse-De Blainville","Quebec","Québec",24,101840,F,98499,F,3.4,41060,39244,F,4.6,40115,38022,F,5.5,74.96,1358.7,
"24014","Pierre-Boucher--Les Patriotes--Verchères","Pierre-Boucher--Les Patriotes--Verchères","Quebec","Québec",24,99787,F,95326,F,4.7,40877,38337,F,6.6,39974,37361,F,7.0,683.76,145.9,
"24015","Bourassa","Bourassa","Quebec","Québec",24,101032,F,100286,F,0.7,46646,46371,F,0.6,43115,43109,F,0.0,13.56,7450.0,
"24016","Brome--Missisquoi","Brome--Missisquoi","Quebec","Québec",24,103457,F,98616,F,4.9,58935,55124,F,6.9,46577,43735,F,6.5,2783.46,37.2,
"24017","Brossard--Saint-Lambert","Brossard--Saint-Lambert","Quebec","Québec",24,107582,F,100828,F,6.7,44695,42518,F,5.1,43071,40988,F,5.1,52.82,2036.9,
